Entry	Entry Name	Gene Names
Q81SW4	SP4A_BACAN	spoIVA BA_1530 BAS1419 GBAA_1530
Q8EQ73	SP2AB_OCEIH	spoIIAB OB1840
Q8RAA8	SP2AB_CALS4	spoIIAB TTE1316
Q8XIR5	SP2AB_CLOPE	spoIIAB CPE2049
Q97GQ9	SP2AB_CLOAB	spoIIAB CA_C2307
Q97L63	SPLB_CLOAB	splB CA_C0699
Q99027	COMP_BACSU	comP BSU31690
Q9K2S2	MRPA_BACSU	mrpA ntrA shaA yufT BSU31600
Q9K3E4	SLEL_BACCE	sleL
Q9KCN2	SP2AB_HALH5	spoIIAB BH1537
Q9KI10	GERN_BACCE	gerN
Q9RNV1	FTSK_SPOUR	ftsK spoIIIE
A0A2K4Z9G8	COMPA_BACSU	cmpA BSU_04785
A0RKS4	GPMI_BACAH	gpmI BALH_4628
A7GUR8	GPMI_BACCN	gpmI Bcer98_3679
A7Z8Y2	GPMI_BACVZ	gpmI RBAM_031270
A8FHJ1	GPMI_BACP2	gpmI BPUM_3054
C0H3P8	YTRH_BACSU	ytrH spoVIGA BSU29239
C0H3Y2	SSCA_BACSU	sscA yhzE BSU09958
C0SP79	YTAF_BACSU	ytaF BSU29070
D5DNA8	GPMI_PRIM3	gpmI pgm BMD_5035
D5DQW6	SP2G_PRIM1	spoIIGA BMQ_4271
D5DVF4	GPMI_PRIM1	gpmI pgm BMQ_5047
L8EBJ9	MCIZ_BACSU	mciZ BSU_23616
O05102	C17AA_PARBF	cry17Aa cbm72 cryXVIIA(a)
O05231	KAPD_BACSU	kapD yugB BSU31470
O05391	BOFC_BACSU	bofC BSU27750
O05495	YDHD_BACSU	ydhD BSU05710
O06014	CR9DA_BACTP	cry9Da cryIXD(a)
O07545	YHED_BACSU	yheD BSU09770
O07634	YLAJ_BACSU	ylaJ BSU14800
O31510	YEEK_BACSU	yeeK BSU06850
O31625	SPVIF_BACSU	spoVIF yjcC BSU11810
O31661	KINE_BACSU	kinE ykrQ BSU13530
O31687	STOA_BACSU	stoA spoIVH BSU13840
O31773	PBPX_BACSU	pbpX BSU16950
O31982	BLYA_BACSU	blyA yomC BSU21410
O32025	PHRE_BACSU	phrE BSU25840
O32062	SAFA_BACSU	safA yrbA BSU27840
O32130	LYTH_BACSU	lytH yunA yutA BSU32340
O32230	SSRP_BACSU	smpB yvaI BSU33600
